Iteration,x1,x2,x3
1,0.01,0.01,0.01
2,100000.0,100000.0,100000.0
3,0.01,0.01,279.92870937621
4,0.01,0.01,330.0844284464255
5,0.01,0.01,362.56417112327
6,0.01,0.01,383.7710540325041
7,0.01,0.01,394.34401799509965
8,0.01,0.01,400.9153008130726
9,0.01,0.01,407.1510268711804
10,0.01,0.01,411.2935480562855
11,259.3616032345283,150.26230897278307,0.01
12,261.40799990046605,149.2391106398142,0.01
13,0.01,279.94311059004275,129.92105157260082
14,100.3009629921205,279.9431105900425,29.629085630732558
15,0.01,336.750425505023,72.77231103795673
16,0.01,336.7504255050227,73.18638978369948
17,77.05452010002642,328.53530376525043,4.28303904787336
18,7.395868652043762,363.3646294892418,39.11236477186459
19,44.91873892190077,364.89461095422195,0.01
20,45.034081484209636,364.84130136660036,0.01
21,2.0379491511163232,384.71346336929054,23.12168161649624
22,21.653075987295228,384.71346336929054,3.506358621202604
23,0.01,395.1628567223614,14.693569815583245
24,0.01,395.1628567223602,14.701677760974665
25,13.541217367749354,394.36690275955186,1.964742785848922
26,0.01,401.7598861713611,8.102801069838353
27,0.01,401.7598861713565,8.103451117293096
28,10.943858465324425,398.91900444781237,0.01
29,5.762950909169356,397.76769165755434,6.342220346426455
30,10.391556551575661,397.1891159522536,2.2920457596086043
31,10.391556551589327,397.1891159522519,2.2922322285003536
32,7.404590936642337,398.98129532118895,3.4869766553189354
33,7.906103477261162,397.9782702400099,3.988489195879109
34,7.986222749343142,397.81803169585766,4.068608467949417
35,8.159401056775822,397.81803169584214,3.8954301605321553
36,7.961476260423661,397.91699409484863,3.994390578550696
