Iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
2,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,-10.0,-10.0,-10.0
3,10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,3.1664126919201445,-10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,10.0,-10.0,-10.0,-10.0,10.0
4,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-8.976413803965576,-4.3960829197428595,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,-10.0,10.0
5,-10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,-5.623952648514158,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,-7.3205768625983945,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,4.48415378675234,10.0,-10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0
6,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-3.0380127033039392,10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,-6.331599447018734,-10.0,10.0,10.0,10.0,9.813063265663418,-10.0,10.0,10.0,-10.0,10.0,-9.358266139181666,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0
7,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-3.8105650593950364,-10.0,-10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,-3.380560860524466,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,-1.0845994263670289,10.0,-10.0,-10.0,10.0,10.0,-0.02187295072072789,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,-10.0,10.0,-8.647993889528331,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0
8,6.675538442318816,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-5.99097162010659,-10.0,-10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,-6.5317330630533235,10.0,-10.0,10.0,-3.7262659574361687,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,-10.0,9.869093918575,10.0,10.0,10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-2.4312224846295423,10.0,-10.0,10.0
9,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,-8.835983154832556,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,-4.977896342459995,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-5.918421953826978,10.0,10.0,-10.0,10.0,10.0,10.0,-4.649284005642463,10.0,10.0,10.0,-10.0,-10.0,10.0,-8.131977544751578,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,-3.8834863564503923,10.0,-10.0,-10.0,-10.0,2.5083800000398737,10.0,10.0,-10.0,10.0,-10.0,-10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,10.0
10,10.0,10.0,-3.0994890999240146,10.0,10.0,10.0,-10.0,-10.0,3.264501950322864,-10.0,10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,1.5936114595934163,10.0,10.0,10.0,10.0,-10.0,10.0,10.0,-10.0,-6.79959165351276,10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,-10.0,-10.0,10.0,10.0,10.0,10.0,10.0,10.0,-10.0,-10.0,10.0,5.036872901698669,10.0,10.0,10.0,10.0,-10.0,4.150539850374443,-10.0,10.0,-10.0,10.0,-10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,10.0,10.0,-10.0,10.0,-10.0,5.729984394441082,-10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,5.164912806404405
