Index,Value
1,-0.0025263748238742605
2,-0.0025263748238742605
3,-0.0025263748238742605
4,-0.0025263748238742605
5,-0.0025263748238742605
6,-0.0025263748238742605
7,-0.0025263748238742605
8,-0.0025263748238742605
9,-0.0025263748238742605
10,-0.0025263748238742605
11,-0.0025263748238742605
12,-0.0025263748238742605
13,-0.0025263748238742605
14,-0.0025263748238742605
15,-0.0025263748238742605
16,-0.0025263748238742605
17,-0.0025263748238742605
18,-0.0025263748238742605
19,-0.0025263748238742605
20,-0.0025263748238742605
21,-0.0025263748238742605
22,-0.0025263748238742605
23,-0.0025263748238742605
24,-0.0025263748238742605
25,-0.0025263748238742605
26,-0.0025263748238742605
27,-0.0025263748238742605
28,-0.0025263748238742605
29,-0.0025263748238742605
30,-0.0025263748238742605
31,-0.0025263748238742605
32,-0.0025263748238742605
33,-0.0025263748238742605
34,-0.0025263748238742605
35,-0.0025263748238742605
36,-0.0025263748238742605
37,-0.0025263748238742605
38,-0.0025263748238742605
39,-0.0025263748238742605
40,-0.0025263748238742605
41,-0.0025263748238742605
42,-0.0025263748238742605
43,-0.0025263748238742605
44,-0.0025263748238742605
45,-0.0025263748238742605
46,-0.0025263748238742605
47,-0.0025263748238742605
48,-0.0025263748238742605
49,-0.0025263748238742605
50,-0.0025263748238742605
51,-0.0025263748238742605
52,-0.0025263748238742605
53,-0.0025263748238742605
54,-0.0025263748238742605
55,-0.0025263748238742605
56,-0.0025263748238742605
57,-0.0025263748238742605
58,-0.0025263748238742605
59,-0.0025263748238742605
60,-0.0025263748238742605
61,-0.0025263748238742605
62,-0.0025263748238742605
63,-0.0025263748238742605
64,-0.0025263748238742605
65,-0.0025263748238742605
66,-0.0025263748238742605
67,-0.0025263748238742605
68,-0.0025263748238742605
69,-0.0025263748238742605
70,-0.0025263748238742605
71,-0.0025263748238742605
72,-0.0025263748238742605
73,-0.0025263748238742605
74,-0.0025263748238742605
75,-0.0025263748238742605
76,-0.0025263748238742605
77,-0.0025263748238742605
78,-0.0025263748238742605
79,-0.0025263748238742605
80,-0.0025263748238742605
81,-0.0025263748238742605
82,-0.0025263748238742605
83,-0.0025263748238742605
84,-0.0025263748238742605
85,-0.0025263748238742605
86,-0.0025263748238742605
87,-0.0025263748238742605
88,-0.0025263748238742605
89,-0.0025263748238742605
90,-0.0025263748238742605
91,-0.0025263748238742605
92,-0.0025263748238742605
93,-0.0025263748238742605
94,-0.0025263748238742605
95,-0.0025263748238742605
96,-0.0025263748238742605
97,-0.0025263748238742605
98,-0.0025263748238742605
99,-0.0025263748238742605
100,-0.0025263748238742605
