Γ,cost,π_star,λ_star,n_bind,MW_gas,MW_geothermal,MW_hybrid_solar,MW_hybrid_wind,MW_hydro,MW_other,MW_solar,MW_storage,MW_wind
0.0,1.4133550815789473e9,142105.26315789475,275.0,0,513.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,10013.145789473683,0.0
1.0,1.421330788793103e9,143103.44827586197,56.12534706257976,0,513.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,10072.225102171125,0.0
2.0,1.4294193355948553e9,144115.75562700952,56.5223752411575,0,513.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,10132.140263665606,0.0
5.0,1.4543864794021025e9,147240.4730617607,57.74789323258863,0,513.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,10317.082069645181,0.0
10.0,1.4984945328220828e9,152760.73619631887,59.91294717109739,0,513.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,10643.808391274713,0.0
25.0,1.6538120044453516e9,173980.42414355607,67.68417088091346,0,513.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,11794.308181076645,0.0
50.0,2.0403774414857166e9,231428.57142857133,88.2475913942857,0,513.1700000000001,0.0,0.0,0.0,0.0,0.0,0.0,14657.755862857168,0.0
75.0,2.5243496666666665e9,266666.6666666667,49.885000000000005,0,513.1700000000001,0.0,7746.239166666657,0.0,5.0,0.0,0.0,9054.599999999997,0.0
100.0,2.763056986372734e9,288176.35270541115,34.81232665330661,0,513.1700000000001,0.0,11434.847179358718,0.0,5.0,0.0,0.0,6451.118797595199,0.0
125.0,3.043065789461708e9,323436.8530020707,38.73368964803312,0,513.1700000000001,0.0,12594.61844616975,0.0,5.0,0.0,0.0,7150.714356107676,0.0
130.0,3.107165122055073e9,330974.57627118664,39.63638156779659,0,513.1700000000001,0.0,12860.912562499976,0.0,5.0,0.0,0.0,7309.916385593208,0.0
135.0,3.1736615562499924e9,337500.0,38.28,8,513.1700000000001,0.0,12460.780000000022,0.0,5.0,0.0,0.0,8276.713749999959,0.0
140.0,3.2254991812499943e9,337500.0,26.950000000000003,38,513.1700000000001,0.0,9060.305,0.0,5.0,0.0,0.0,12690.888749999956,0.0
145.0,3.2607390187500014e9,337500.0,10.0,75,513.1700000000001,0.0,3578.0,0.0,5.0,0.0,0.0,19449.471250000013,0.0
150.0,3.2716108937500005e9,337500.0,0.0,93,513.1700000000001,0.0,0.0,0.0,5.0,0.0,0.0,23770.596250000002,0.0
175.0,3.2716108937500005e9,337500.0,0.0,93,513.1700000000001,0.0,0.0,0.0,5.0,0.0,0.0,23770.596250000002,0.0
200.0,3.2716108937500005e9,337500.0,0.0,93,513.1700000000001,0.0,0.0,0.0,5.0,0.0,0.0,23770.596250000002,0.0
250.0,3.2716108937500005e9,337500.0,0.0,93,513.1700000000001,0.0,0.0,0.0,5.0,0.0,0.0,23770.596250000002,0.0
275.0,3.2716108937500005e9,337500.0,0.0,93,513.1700000000001,0.0,0.0,0.0,5.0,0.0,0.0,23770.596250000002,0.0
