Iteration,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
2,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453,-0.4292893218813453
3,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996,-0.37971926077165996
4,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494,-0.341747334694494
5,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355,-0.31118052383424355
6,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477,-0.2857727404580477
7,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194,-0.26417035180852194
8,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777,-0.24549068709329777
9,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793,-0.22912464128707793
10,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354,-0.21463352659635354
