rho_target,rho_realized,C_1,C_2,C_12,savings,share_1,share_2
-1.0,-0.9480776300650059,73.82983398561359,64.97868404781444,89.36997759500494,49.438540438423075,0.54951970547598,0.45048029452402
-0.9,-0.856416310867622,73.82983398561359,63.90945426062207,89.14580929865348,48.5934789475822,0.5556413128280465,0.4443586871719534
-0.8,-0.7636436630940504,73.82983398561359,65.41716165414387,90.71297693569858,48.534018704058894,0.5463697290930767,0.45363027090692326
-0.7,-0.6711657459238285,73.82983398561359,69.91388897371372,97.78136610585355,45.96235685347378,0.5200239839544717,0.4799760160455283
-0.6,-0.5788422968801191,73.82983398561359,72.60175861384364,104.09178172351619,42.339810875941055,0.5058990025506139,0.494100997449386
-0.5,-0.48651214083714744,73.82983398561359,74.26228501527882,109.73693020353682,38.355188797355595,0.49802960120689027,0.5019703987931097
-0.4,-0.39396569327256187,73.82983398561359,75.2658320786495,114.73669186251456,34.35897420174851,0.49374220195072116,0.5062577980492788
-0.3,-0.30094777572857906,73.82983398561359,75.80362918692867,119.10227617478074,30.531186997761523,0.49171386448392235,0.5082861355160777
-0.2,-0.20718393745233296,73.82983398561359,75.97413149354041,122.8514538275307,26.952511651623283,0.4912728036945449,0.508727196305455
-0.1,-0.11241681548974687,73.82983398561359,75.820004609068,126.00904753722426,23.640791057457307,0.49210306457214315,0.5078969354278569
0.0,-0.016442503019682576,73.82983398561359,75.34421579250694,128.6026337208881,20.571416057232454,0.4941121664343979,0.5058878335656022
0.1,0.08086069342705744,73.82983398561359,74.51536413528625,130.6567532066857,17.68844491421416,0.49737659886363395,0.502623401136366
0.2,0.17951735716389466,73.82983398561359,73.26595231199587,132.18652080751616,14.909265490093304,0.5021329015627805,0.4978670984372196
0.3,0.2794584583026914,73.82983398561359,73.41616239681876,133.76990370641153,13.476092676020812,0.5015462057508194,0.4984537942491805
0.4,0.3805443163943752,73.82983398561359,75.12456810193058,135.47830941152333,13.47609267602084,0.49522161842017026,0.5047783815798297
0.5,0.48260223313642636,73.82983398561359,76.35807142615067,136.71181273574345,13.476092676020812,0.49075340532048967,0.5092465946795104
0.6,0.5854658899871515,73.82983398561359,77.09726980863721,137.45101111822996,13.47609267602084,0.488114180476224,0.511885819523776
0.7,0.688992895518062,73.82983398561359,77.25839133147059,140.24405480130451,10.844170515779666,0.4877764610032328,0.5122235389967672
0.8,0.7930185974250499,73.82983398561359,76.6069784974527,144.7523419298472,5.684470553219086,0.4904072553341312,0.5095927446658688
0.9,0.8971542655983392,73.82983398561359,74.64504423362825,148.47487821924184,0.0,0.4972547199304285,0.5027452800695714
1.0,0.9989963512725033,73.82983398561359,80.79474393728773,154.62457792290132,0.0,0.47747799850051337,0.5225220014994867
